Date,Type,Journal,Language post,Field,Link,DOI,Likes,Comments,Shares,Altmetric,Twitter,Facebook,Blogs,Mendeley,Observ.,Other Altmetric/Lang paper
Jul/4/2017,Release,Revista de Economia Política - REP,pt,Economia,http://humanas.blog.scielo.org/blog/2017/07/04/historicidade-e-instituicoes-no-centro-das-relacoes-de-producao-e-de-distribuicao-por-uma-ciencia-economica-antipositivista-e-antineoclassica/,DOI: 10.1590/0101-31572016v37n01a02,3,0,0,0,0,0,0,0,"Link p/blog. 5 likes FB blog. 23 tweets, 3 Mundorama, 2 journal, 8RT. FB 5 posts, 3 users 2 RBPI, 2 Centro de Estudos de Rel. Int. Brasil Cont.",
Jul/14/2017,Release,Revista Paulista de Pediatria – RPP,pt,Medicina,https://pressreleases.scielo.org/blog/2017/07/14/mae-voce-sabe-o-que-e-o-teste-do-pezinho/#.We_B1BNSx3k,http://www.scielo.br/ape,5,0,1,2,1,1,0,1,"Link p/blog. Blog fala de um artigo mas link p/revista. 10 likesFB blog. Dados Altmetric 2, busquei pelo título do artigo citado no post do blog.",
May/22/2017,Release,Brazilian Journal of Oceanography – BJOCE,pt,Oceanografia,https://pressreleases.scielo.org/blog/2017/05/22/tsunamis-meteorologicos-devemos-nos-preocupar-com-eles/#.We5AmoZrx3k,http://www.scielo.br/bjoce,1,0,0,0,0,0,0,0,Link p/blog. Blok link p/ edição.,
jun/27/2017,Release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/06/27/as-conjunturas-politicas-afetam-o-desempenho-do-sus/#.We-aXRNSx3k,http://www.scielo.br/csc,6,0,1,0,0,0,0,0,Link p/blog. 10 likes FB Blog. Link p/edição.,
Jun/6/2017,release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/06/06/politica-publica-democracia-e-saude-a-institucionalizacao-do-sus-contribui-para-a-democratizacao-do-pais/#.We-WfBNSx3k,http://www.scielo.br/csc,8,0,2,0,0,0,0,0,Link p/blog. Blog link p/ edição. 2 likes FB blog. 11 likes FB blog.,
May/8/2017,Release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/05/08/sistemas-de-saude-no-brasil-e-politicas-de-regionalizacao/#.We47iIZrx3k,http://www.scielo.br/csc,7,0,1,0,0,0,0,0,Link p/ blog. Blog link p/ edição em pt.,
Oct/3/2017,Release,Ciência & Saúde Coletiva,pt,Saúde,https://pressreleases.scielo.org/blog/2017/10/03/mortes-prematuras-vidas-despedacadas-sociedade-amedrontada-o-saldo-da-violencia-que-impacta-a-saude/#.WfJn9mhSzIU,http://www.scielo.br/csc,25,2,18,0,0,0,0,0,Link p/blog. 2 comment indicação. Blog link p/edição.,
Aug/8/2017,Release,JATM - Journal of Aerospace Technology and Management,en,Eng. Aeroespacial,https://pressreleases.scielo.org/en/2017/08/08/how-small-satellites-can-change-space-science/,http://www.scielo.br/jatm,4,0,1,0,0,0,0,0,,
Apr/24/2017,release,Revista Brasileira de Política Internacional - RBPI,pt,Relações Internacionais,http://humanas.blog.scielo.org/blog/2017/04/24/sessenta-anos-de-contribuicao-para-a-formacao-do-pensamento-brasileiro-de-relacoes-internacionais-a-segunda-semana-especial-rbpi-no-blog-scielo-em-perspectiva-humanas/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=0034-732920170001&lng=en&nrm=iso,2,0,0,0,0,0,0,,Link p/blog. Blog com video e link Edição.,
Aug/4/2017,Release,Manuscrito,pt,filosofia,http://humanas.blog.scielo.org/en/2017/08/04/manuscrito-brings-fourteen-original-contributions-to-the-philosophy-of-time/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=0100-604520170001&lng=pt&nrm=iso,6,0,0,0,0,0,0,0,Link p/ blog. 38 likes FB blog. Link p/edição. Post e artigo em en.,Artigo en
Oct/3/2017,Release,Manuscrito,em,Literatura,http://humanas.blog.scielo.org/en/2017/10/03/manuscrito-brings-new-contributions-to-contemporary-philosophical-discussions/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=0100-604520170002&lng=en&nrm=iso,12,0,0,0,0,0,0,0,Link p/blog. 44 likes FB blog.,english
Sep/13/2017,Release,Serviço Social & Sociedade – SSSOC,pt,Ciências Sociais,http://humanas.blog.scielo.org/blog/2017/09/13/servico-social-marcas-e-desafios/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=0101-662820170002&lng=en&nrm=iso,5,0,0,0,0,0,0,0,"Link p/blog em, pt. 6 likes FB blog. Blog link p/edição.",pt
Jul/20/2017,Release,Revista Estudos Feministas - REF,pt,Gênero,http://humanas.blog.scielo.org/blog/2017/07/20/estudos-feministas-em-debates-contemporaneos/,http://www.scielo.br/scielo.php?script=sci_issuetoc&pid=0104-026X20170002&lng=en&nrm=iso,8,0,2,0,0,0,0,0,Link p/blog. Blog link p/edição. 37 likes FB blog.,
